"","Site","Site.1","Veg.Year","Year","VegType","VegYr","Depth","H","J","D","I","logSimp","logPielou"
"29","LP5_14","LP5_14","2014_Remnant","2014","Remnant","Meadow_2014",0,1.49107474944546,0.926456831870185,0.754784130097512,4.07803948577087,1.40561635473679,-0.0763878270349265
"30","LP5_15","LP5_15","2015_Remnant","2015","Remnant","Meadow_2015",7,1.39776578250973,0.672183254250357,0.624192465281211,2.66093653696508,0.978678142393259,-0.397224275857496
"31","LP5R_14","LP5R_14","2014_Remnant","2014","Remnant","Emergent_2014",13,1.0406723609389,0.750686427158381,0.544945706494808,2.19753997330121,0.787338540764976,-0.286767254813892
"32","LP5R_15","LP5R_15","2015_Remnant","2015","Remnant","Emergent_2015",39,1.70099885401538,0.949345536177475,0.800573724732141,5.01438438168116,1.61231065848126,-0.0519824410814623
"33","LP6_14","LP6_14","2014_Remnant","2014","Remnant","Meadow_2014",0,0.598692868941264,0.371988794544926,0.264646116552141,1.3598894661592,0.307403421562034,-0.988891547353731
"34","LP6_15","LP6_15","2015_Remnant","2015","Remnant","Meadow_2015",0,0.806951351040161,0.501387064891329,0.434268466144395,1.76762287437779,0.569635635115013,-0.690376891573708
"35","LP6R_14","LP6R_14","2014_Remnant","2014","Remnant","Emergent_2014",1,0.702168198686855,0.436281631780938,0.323383066181343,1.47794113628852,0.390649995135157,-0.829467299713733
"36","LP6R_15","LP6R_15","2015_Remnant","2015","Remnant","Emergent_2015",28,1.50381714078231,0.934374124757601,0.751967645040798,4.03173207045705,1.39419607778161,-0.0678783591177982
"37","LP7R_14","LP7R_14","2014_Remnant","2014","Remnant","Emergent_2014",12,1.70908948448384,0.821898307900102,0.773722603304333,4.41935436151829,1.48599361336536,-0.196138604595951
"38","LP7R_15","LP7R_15","2015_Remnant","2015","Remnant","Emergent_2015",42,1.19011381233682,0.858485647575896,0.664606554652563,2.98157287768129,1.09245097257637,-0.152585316808937
"39","LP8R_14","LP8R_14","2014_Remnant","2014","Remnant","Meadow_2014",0,1.36713564595229,0.849449137111881,0.705524764107789,3.39587129277667,1.22256036807738,-0.163167213574517
"40","LP8R_15","LP8R_15","2015_Remnant","2015","Remnant","Meadow_2015",8,1.56923066043306,0.681508216659475,0.660267187612351,2.94348959987697,1.07959581622938,-0.383446971191195
